id,title,price,base_price,original_price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,category_id,reviews_quantity,reviews_average,brand
MLA1438130645,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro Con 2gb Ram,102929.0,102929.0,,ARS,59,,,new,MLA352001,,,
MLA1388893071,Xiaomi Stick 4k Control De Voz 4k 8gb Con 2gb De Memoria Ram,110806.0,110806.0,,ARS,24,,,new,MLA352001,,,
MLA1439021777,Chromecast 4 Original Google Tv De Voz 4k 8gb,145530.0,145530.0,,ARS,21,,,new,MLA352001,,,
MLA2012521480,Tv Box Watch Onn 4k Chromecast Solucionado Ubicación Negro,75000.0,75000.0,,ARS,5,,,new,MLA352001,,,
MLA1835129114,Google Chromecast 4 Hd Ga03131 8gb 2gb + Cargador + Control,114999.0,114999.0,,ARS,493,,,new,MLA352001,,,
MLA1475593181,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Charcoal 110/220v,58013.0,58013.0,,ARS,80,,,new,MLA409415,,,
MLA1597574484,Parlante Google Home Mini Asistente Virtual Refabricado,69990.0,69990.0,,ARS,176,,,new,MLA409415,,,
MLA1398793543,Google Home Mini Con Asistente Virtual Google Assistant Ref,69990.0,69990.0,,ARS,157,,,new,MLA409415,,,
MLA930506223,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,19900.0,19900.0,,ARS,50,,,new,MLA409415,,,
MLA2011107376,Prte Pared 45º Ggle Hme Hub 138x60mm Nextsale Clr Negr,10900.0,10900.0,,ARS,12997,,,new,MLA409415,,,
MLA1400539531,Google Home Mini Asistente Virtual Google Assistant Ref,64990.0,64990.0,,ARS,3,,,new,MLA409415,,,
MLA1110314122,Soporte Pared 45º Google Home Hub Base 138x60mm Nextsale,10900.0,10900.0,,ARS,25998,,,new,MLA409415,,,
MLA1400506527,Google Home Mini Multi-room Google Assistant Refabricado,84990.0,84990.0,,ARS,1,,,new,MLA409415,,,
MLA1110377590,Soporte De Pared Google Mini Home / Nest Mini 2da Generacion,10900.0,10900.0,,ARS,38960,,,new,MLA409415,,,
MLA1432622907,Google Home Mini Google Assistant Coral 110v/220v Usado,39990.0,39990.0,,ARS,17,,,used,MLA409415,,,
MLA1981779742,Google Home Mini 2gen Asistente Virtual Assistant Chalk,70000.0,70000.0,,ARS,1,,,used,MLA409415,,,
MLA1569955706,Google Home Asistente Virtual Google Assistant White Y Slate,220000.0,220000.0,,ARS,1,,,used,MLA409415,,,
MLA2011503402,Google Home Asistente Virtual Google 110v/220v No Es 2da Gen,20000.0,20000.0,,ARS,1,,,used,MLA409415,,,
MLA1432597373,Usado Google Home Mini Google Assistant Coral 110v/220v,44990.0,44990.0,,ARS,9,,,used,MLA409415,,,
MLA1361528507,Parlante Inteligente Google Home Mini Smart Speaker Gris Yt,62990.0,62990.0,,ARS,4,,,used,MLA409415,,,
MLA1361515563,Parlante Inteligente Google Home Mini Smart Speaker Spotify,58990.0,58990.0,,ARS,5,,,used,MLA409415,,,
MLA1364551668,Parlante Inteligente Google Home Mini  Youtube Usado Gris,58990.0,58990.0,,ARS,5,,,used,MLA409415,,,
MLA1412480803,Google Home Mini Negro,90000.0,90000.0,,ARS,1,,,used,MLA409415,,,
MLA1474936661,Google Home Mini Con Google Assistant Chalk 110/220v Chalk,44999.0,44999.0,,ARS,1,,,used,MLA409415,,,
MLA1820484428,Google Home Mini Con Asistente Virtual Charcoal 110v/220v,89999.0,89999.0,,ARS,1,,,used,MLA409415,,,
MLA1892733826,Google Home Mini Con Asistente Virtual Chalk 110v/220v,55000.0,55000.0,,ARS,1,,,used,MLA409415,,,
MLA1416430677,Google Home Mini Original!! Google Assistant ,40000.0,40000.0,,ARS,1,,,used,MLA409415,,,
MLA1807784940,Google Home Mini Con Asistente Virtual,99000.0,99000.0,,ARS,1,,,used,MLA409415,,,
MLA1437520249,Google Home Mini Con Asistente Virtual Color Negro,159999.0,159999.0,,ARS,1,,,used,MLA409415,,,
MLA2010279400,Google Home Mini,50000.0,50000.0,,ARS,1,,,used,MLA409415,,,
MLA2020005016,Google Home Mini - Usado,49999.0,49999.0,,ARS,1,,,used,MLA409415,,,
MLA2011514822,Google Home Mini Con Asistente Virtual No Es 2da Gen,25000.0,25000.0,,ARS,1,,,used,MLA409415,,,
MLA1854015610,Google Home Mini Con Google Assistant,30000.0,30000.0,,ARS,1,,,used,MLA409415,,,
MLA1476279951,"Altavoz Wi-fi Google Home Mini Assistant, Color Negro",38000.0,38000.0,,ARS,1,,,used,MLA409415,,,
MLA1473995491,Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3.ª Generación 2022 4k 128gb Negro - Distribuidor Autorizado,499999.0,499999.0,,ARS,12,,,new,MLA352001,,,
MLA1449403463,Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 32gb Negro Con 2gb De Memoria Ram,599990.0,599990.0,,ARS,77,,,new,MLA352001,,,
MLA2005336284,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro - Distribuidor Autorizado,449999.0,449999.0,,ARS,18,,,new,MLA352001,,,
MLA1361061092,Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3.ª Generación 2022 4k 128gb Negro,399376.0,399376.0,,ARS,38,,,new,MLA352001,,,
MLA1345282920,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,364087.0,364087.0,,ARS,70,,,new,MLA352001,,,
MLA1453365954,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 32gb Negro,499997.0,499997.0,,ARS,8,,,new,MLA352001,,,
MLA1594852796,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,423600.0,423600.0,,ARS,1,,,new,MLA352001,,,
MLA1719499042,Streaming Apple Tv Fhd 32gb 2nd Gen 2021 Black Mhy93ll/a ,327990.0,327990.0,,ARS,1037,,,new,MLA352001,,,
MLA1981233514,Apple Tv 4k Wi-fi (tercera Generación) 128 Gb Ethernet,267141.48,267141.48,,ARS,15,,,new,MLA352001,,,
MLA1618134842,Apple Tv 4k (wifi + Ethernet) Con 128 Gb,468999.0,468999.0,,ARS,9,,,new,MLA352001,,,
MLA1366437937, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Negro,405399.0,405399.0,,ARS,11,,,new,MLA352001,,,
MLA1399215544, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Negro,477099.0,477099.0,,ARS,11,,,new,MLA352001,,,
MLA1618134776,Apple Tv 4k (wifi + Ethernet) Con 128 Gb,550999.0,550999.0,,ARS,8,,,new,MLA352001,,,
MLA1476413599,Apple Tv 4k (wifi + Ethernet) A2843 De Voz 3.a Generación 20,335000.0,335000.0,,ARS,2,,,new,MLA352001,,,
MLA1458318213,Apple Tv 4k (wifi + Ethernet)  3ra Gen 2022 4k 128gb Negro,420000.0,420000.0,,ARS,1,,,new,MLA352001,,,
MLA1426291701,Apple Tv 4k 64gb Modelo A2169. Soporte Y Funda De Regalo,567000.0,567000.0,,ARS,1,,,new,MLA352001,,,
MLA1475999135,Apple Tv 4k A2169 De Voz 2.a Generación 2021 4k 32gb 2021 Negro De Voz,255000.0,255000.0,,ARS,1,,,new,MLA352001,,,
MLA2011479876,Apple Tv 4k Wi-fi (tercera Generación) 64gb Apple Tv Negro De Voz,330000.0,330000.0,,ARS,1,,,new,MLA352001,,,
MLA1475974383,Apple Tv 4k 32 Gb,35000.0,35000.0,,ARS,1,,,used,MLA352001,,,
MLA1475264487,Apple Tv 3.a Generación A1427,30000.0,30000.0,,ARS,1,,,used,MLA352001,,,
MLA1448806077,"Apple Tv A1469 3.a Gen. Full Hd 8gb, 1gb Ram,estado Impoluto",44900.0,44900.0,,ARS,1,,,used,MLA352001,,,
